i,j,k,probability
0,0,0,0.5305927250129694
0,0,1,0.5334140468123219
0,0,2,0.5363651702205404
0,0,3,0.5394515126552962
0,0,4,0.542680103556368
0,0,5,0.5460585419818528
0,0,6,0.5495937467669998
0,0,7,0.5532931010393808
0,0,8,0.5571582531118185
0,0,9,0.5611981581722826
0,0,10,0.5654300873956971
0,0,11,0.5698643773274058
0,0,12,0.5745043297582302
0,0,13,0.5793543787540236
0,0,14,0.5843890706168868
0,0,15,0.589669517766847
0,0,16,0.5952559526755739
0,0,17,0.6011100693569073
0,0,18,0.6071940933495588
0,0,19,0.6134893646013382
0,0,20,0.6198776689641339
0,0,21,0.626938635573794
0,0,22,0.6346286788137748
0,0,23,0.6423187934523653
0,0,24,0.6499935085792525
0,0,25,0.6576492964898525
0,0,26,0.665268461808449
0,0,27,0.6728386945706373
0,0,28,0.6803471076594834
0,0,29,0.6877998766339305
0,0,30,0.6951600336625716
0,0,31,0.7024923700260536
0,0,32,0.7097399513412967
0,0,33,0.7169613624700386
0,0,34,0.7241888601365062
0,0,35,0.7314590011083852
0,0,36,0.7387954528985117
0,0,37,0.7460459956282784
0,0,38,0.7532215551430694
0,0,39,0.7603687123839704
0,0,40,0.7674384133074418
0,0,41,0.7744164788353313
0,0,42,0.7813842410972884
0,0,43,0.788288204611196
0,0,44,0.7951064194765141
0,0,45,0.8018628668540806
0,0,46,0.8085259548028104
0,0,47,0.815112896745356
0,0,48,0.8214482273265388
0,0,49,0.8276001632020699
0,0,50,0.8334886743710227
0,0,51,0.8391842188234729
0,0,52,0.8447707800378794
0,0,53,0.8503658448135218
0,0,54,0.8560452729054961
0,0,55,0.8618780974130802
0,0,56,0.8677117446082299
0,0,57,0.8736157887647447
0,0,58,0.8794120647750496
0,0,59,0.8849257861370348
0,0,60,0.8902329691122951
0,0,61,0.8953690916681598
0,0,62,0.9005487178216391
0,0,63,0.905550640197096
0,0,64,0.9103554464135915
0,0,65,0.914795078215021
0,0,66,0.9188783213149354
0,0,67,0.9227268188987797
0,0,68,0.9263548906841459
0,0,69,0.9298183026900007
0,0,70,0.9331471826313285
0,0,71,0.9363417536672994
0,0,72,0.9395468132356566
0,0,73,0.9429633216081161
0,0,74,0.9465648121902939
0,0,75,0.9504753239543068
0,0,76,0.9542613612096736
0,0,77,0.9576481023909831
0,0,78,0.9600449672500837
0,0,79,0.9635831126185621
0,0,80,0.9669020574174653
0,0,81,0.9699633458125799
0,0,82,0.9728284822522356
